iter	RMSE
0	22232.11021
1	21547.29227
2	20909.41998
3	20322.65743
4	19777.4773
5	19257.53904
6	18776.67584
7	18317.00163
8	17872.47125
9	17486.53389
10	17093.90147
11	16744.16324
12	16422.87887
13	16121.20378
14	15844.14242
15	15595.66602
16	15351.67713
17	15124.43559
18	14911.157
19	14701.82573
20	14525.12506
21	14353.60175
22	14198.33128
23	14053.55843
24	13895.53585
25	13768.57321
26	13650.8357
27	13535.03044
28	13410.01474
29	13307.8811
30	13192.15135
31	13100.43899
32	13017.08306
33	12947.76723
34	12886.40088
35	12816.34324
36	12755.66994
37	12689.03499
38	12629.20725
39	12575.03086
40	12526.02931
41	12476.61129
42	12422.67856
43	12376.89878
44	12338.63289
45	12296.61236
46	12257.62353
47	12214.78967
48	12179.47282
49	12143.91236
50	12114.78608
51	12076.54396
52	12036.00235
53	11981.46272
54	11954.35159
55	11905.22386
56	11882.01325
57	11845.8289
58	11818.48445
59	11798.96881
60	11755.68407
61	11717.10967
62	11688.78279
63	11650.01197
64	11608.86215
65	11586.07939
66	11550.18465
67	11516.57667
68	11479.83485
69	11459.17072
70	11439.20913
71	11424.11239
72	11403.01152
73	11386.23316
74	11374.22524
75	11362.56669
76	11351.18008
77	11330.3411
78	11320.70711
79	11305.96358
80	11293.49783
81	11273.41365
82	11256.65939
83	11244.29559
84	11235.4966
85	11221.76068
86	11208.48567
87	11180.63152
88	11166.58932
89	11156.17357
90	11093.05465
91	11050.09933
92	11042.97423
93	11029.57518
94	11020.11757
95	11008.72456
96	11003.38585
97	10986.98688
98	10975.82192
99	10947.58877
100	10885.16418
101	10870.53011
102	10861.2711
103	10803.53016
104	10798.89819
105	10777.15871
106	10764.61444
107	10756.66361
108	10703.31004
109	10696.07192
110	10678.64922
111	10670.58889
112	10662.21721
113	10657.74425
114	10645.5847
115	10609.41323
116	10589.63205
117	10581.14477
118	10568.53684
119	10549.94458
120	10543.11582
121	10526.32289
122	10475.94695
123	10462.94889
124	10447.60639
125	10429.23883
126	10419.12647
127	10414.69938
128	10403.42808
129	10398.33607
130	10387.13282
131	10372.83612
132	10357.33501
133	10312.62757
134	10292.58913
135	10283.69689
136	10269.85292
137	10258.20979
138	10242.89684
139	10221.07382
140	10180.70424
141	10164.99957
142	10157.84043
143	10152.43774
144	10143.1745
145	10137.03639
146	10133.73675
147	10130.05281
148	10115.93337
149	10078.93779
150	10071.37732
151	10044.54874
152	10034.72515
153	10017.23372
154	10001.96921
155	9980.076237
156	9974.857462
157	9968.71692
158	9932.324813
159	9924.798482
160	9916.516192
161	9913.058281
162	9900.844722
163	9893.888271
164	9886.858055
165	9868.577153
166	9859.073251
167	9846.398456
168	9839.915815
