iter	Passed	Remaining
0	29	119883
1	47	94886
2	62	83119
3	76	76257
4	91	72989
5	104	69733
6	118	67653
7	131	65802
8	146	65073
9	161	64528
10	177	64311
11	191	63495
12	204	62797
13	220	62658
14	234	62424
15	249	62099
16	263	61688
17	277	61347
18	294	61634
19	308	61470
20	322	61063
21	337	61084
22	354	61276
23	370	61407
24	386	61463
25	401	61310
26	416	61314
27	431	61227
28	447	61245
29	461	61099
30	477	61169
31	494	61326
32	509	61267
33	527	61573
34	544	61671
35	559	61566
36	574	61545
37	587	61258
38	605	61490
39	620	61460
40	639	61731
41	657	61956
42	675	62123
43	693	62383
44	708	62284
45	725	62330
46	751	63176
47	773	63697
48	790	63770
49	809	63945
50	827	64112
51	845	64215
52	869	64745
53	890	65042
54	905	64943
55	927	65328
56	949	65647
57	966	65657
58	983	65676
59	997	65524
60	1019	65842
61	1040	66109
62	1062	66397
63	1089	66994
64	1107	67020
65	1127	67187
66	1151	67567
67	1167	67509
68	1183	67417
69	1200	67420
70	1222	67633
71	1240	67689
72	1258	67682
73	1279	67861
74	1303	68210
75	1320	68184
76	1338	68216
77	1357	68273
78	1379	68461
79	1399	68556
80	1418	68631
81	1438	68736
82	1460	68927
83	1479	68963
84	1496	68921
85	1515	68970
86	1533	68952
87	1556	69179
88	1575	69227
89	1596	69346
90	1620	69594
91	1641	69745
92	1660	69760
93	1680	69833
94	1701	69953
95	1724	70110
96	1746	70255
97	1763	70216
98	1780	70177
99	1796	70056
100	1819	70238
101	1835	70146
102	1849	69974
103	1871	70108
104	1888	70066
105	1904	69945
106	1924	70008
107	1942	70006
108	1967	70224
109	1988	70315
110	2007	70345
111	2027	70396
112	2046	70402
113	2065	70415
114	2083	70398
115	2103	70415
116	2122	70436
117	2138	70369
118	2159	70439
119	2179	70472
120	2203	70628
121	2222	70652
122	2242	70692
123	2263	70745
124	2283	70795
125	2302	70790
126	2320	70761
127	2339	70784
128	2360	70823
129	2380	70857
130	2401	70930
131	2423	71009
132	2443	71059
133	2465	71129
134	2485	71147
135	2503	71140
136	2522	71136
137	2544	71210
138	2559	71109
139	2579	71123
140	2600	71161
141	2618	71154
142	2634	71056
143	2656	71138
144	2677	71177
145	2695	71148
146	2717	71222
147	2734	71175
148	2754	71201
149	2774	71223
150	2792	71191
151	2814	71262
152	2836	71318
153	2853	71251
154	2876	71347
155	2898	71429
156	2915	71357
157	2933	71343
158	2958	71473
159	2974	71377
160	2991	71330
161	3008	71286
162	3033	71399
163	3052	71389
164	3068	71324
165	3090	71378
166	3110	71392
167	3133	71464
168	3149	71392
169	3170	71418
170	3189	71424
171	3207	71392
172	3232	71502
173	3253	71545
174	3272	71528
175	3289	71464
176	3309	71473
177	3330	71502
178	3346	71446
179	3367	71474
180	3387	71464
181	3408	71494
182	3428	71507
183	3451	71575
184	3467	71510
185	3485	71475
186	3506	71492
187	3523	71448
188	3543	71458
189	3561	71420
190	3583	71472
191	3609	71580
192	3628	71568
193	3646	71538
194	3662	71462
195	3684	71508
196	3707	71564
197	3729	71617
198	3754	71709
199	3773	71688
200	3790	71650
201	3816	71756
202	3837	71776
203	3859	71813
204	3877	71780
205	3900	71840
206	3923	71890
207	3944	71906
208	3959	71828
209	3979	71819
210	4000	71829
211	4019	71826
212	4037	71778
213	4052	71698
214	4071	71672
215	4088	71630
216	4109	71642
217	4128	71631
218	4148	71629
219	4164	71562
220	4185	71566
221	4204	71555
222	4225	71562
223	4245	71568
224	4259	71468
225	4276	71413
226	4295	71394
227	4316	71404
228	4336	71413
229	4355	71390
230	4380	71479
231	4406	71574
232	4427	71584
233	4448	71586
234	4469	71613
235	4491	71638
236	4511	71628
237	4529	71594
238	4552	71640
239	4567	71558
240	4588	71571
241	4606	71539
242	4622	71475
243	4641	71453
244	4660	71434
245	4679	71417
246	4707	71522
247	4731	71580
248	4748	71536
249	4764	71464
250	4784	71463
251	4800	71394
252	4818	71368
253	4841	71397
254	4863	71421
255	4885	71454
256	4903	71414
257	4922	71396
258	4942	71385
259	4957	71308
260	4977	71302
261	5000	71349
262	5021	71352
263	5042	71352
264	5060	71323
265	5082	71343
266	5110	71445
267	5131	71453
268	5150	71431
269	5170	71427
270	5187	71374
271	5210	71412
272	5226	71345
273	5244	71317
274	5261	71263
275	5282	71273
276	5305	71303
277	5321	71241
278	5343	71268
279	5363	71255
280	5385	71276
281	5408	71304
282	5426	71278
283	5445	71256
284	5462	71206
285	5484	71220
286	5504	71219
287	5521	71163
288	5538	71121
289	5560	71133
290	5581	71146
291	5600	71120
292	5624	71156
293	5644	71151
294	5665	71158
295	5687	71170
296	5703	71114
297	5723	71096
298	5741	71072
299	5760	71049
300	5778	71017
301	5796	70975
302	5815	70961
303	5834	70938
304	5851	70889
305	5872	70897
306	5892	70879
307	5908	70828
308	5928	70812
309	5943	70744
310	5961	70710
311	5980	70694
312	6004	70727
313	6024	70718
314	6043	70694
315	6062	70672
316	6083	70677
317	6100	70634
318	6122	70653
319	6141	70632
320	6159	70595
321	6183	70626
322	6203	70621
323	6222	70599
324	6243	70599
325	6264	70597
326	6285	70600
327	6305	70589
328	6325	70580
329	6342	70538
330	6362	70526
331	6387	70569
332	6410	70595
333	6428	70564
334	6445	70518
335	6464	70488
336	6481	70454
337	6502	70446
338	6517	70385
339	6538	70387
340	6560	70390
341	6576	70341
342	6598	70346
343	6618	70338
344	6635	70300
345	6657	70304
346	6674	70261
347	6706	70383
348	6724	70348
349	6741	70307
350	6767	70359
351	6789	70366
352	6814	70405
353	6836	70413
354	6855	70394
355	6875	70378
356	6895	70365
357	6913	70336
358	6934	70330
359	6950	70276
360	6967	70239
361	6984	70189
362	7001	70149
363	7025	70176
364	7046	70170
365	7065	70153
366	7083	70125
367	7102	70095
368	7119	70058
369	7139	70041
370	7157	70016
371	7181	70036
372	7203	70044
373	7220	70002
374	7240	69993
375	7262	69999
376	7280	69962
377	7298	69932
378	7318	69918
379	7340	69932
380	7357	69884
381	7379	69890
382	7400	69889
383	7422	69896
384	7445	69911
385	7462	69866
386	7481	69849
387	7503	69849
388	7523	69843
389	7544	69833
390	7564	69821
391	7584	69811
392	7607	69825
393	7624	69780
394	7642	69750
395	7662	69738
396	7684	69736
397	7707	69754
398	7727	69738
399	7755	69799
400	7774	69778
401	7795	69774
402	7817	69776
403	7839	69780
404	7858	69753
405	7875	69714
406	7893	69685
407	7916	69695
408	7937	69691
409	7961	69708
410	7981	69699
411	8001	69686
412	8020	69657
413	8042	69662
414	8061	69640
415	8079	69607
416	8103	69623
417	8121	69598
418	8138	69552
419	8160	69560
420	8177	69519
421	8198	69512
422	8215	69470
423	8234	69451
424	8265	69526
425	8285	69516
426	8311	69550
427	8329	69513
428	8347	69486
429	8369	69484
430	8391	69490
431	8414	69494
432	8431	69459
433	8454	69469
434	8475	69462
435	8495	69446
436	8517	69442
437	8537	69429
438	8558	69419
439	8576	69391
440	8593	69350
441	8613	69334
442	8632	69310
443	8656	69329
444	8678	69330
445	8699	69320
446	8717	69292
447	8739	69291
448	8761	69289
449	8781	69278
450	8802	69265
451	8822	69253
452	8848	69282
453	8865	69246
454	8883	69209
455	8903	69194
456	8922	69177
457	8942	69159
458	8958	69114
459	8983	69132
460	9002	69107
461	9020	69077
462	9042	69075
463	9063	69069
464	9083	69053
465	9102	69029
466	9119	68994
467	9141	68990
468	9163	68988
469	9178	68940
470	9198	68922
471	9220	68918
472	9239	68895
473	9261	68891
474	9281	68880
475	9305	68893
476	9321	68844
477	9341	68829
478	9362	68823
479	9385	68830
480	9404	68805
481	9425	68795
482	9442	68757
483	9463	68749
